Region,Seed,School,SRS
2,1,Gonzaga ,27.79
1,1,Duke ,26.9
3,1,Virginia ,25.46
1,2,Michigan State ,24.93
4,1,North Carolina ,23.94
2,3,Texas Tech ,22.79
2,2,Michigan ,21.82
3,2,Tennessee ,21.55
4,2,Kentucky ,21.43
3,3,Purdue ,21.4
4,5,Auburn ,20.84
1,4,Virginia Tech ,19.28
4,3,Houston ,18.91
4,4,Kansas ,18.35
4,6,Iowa State ,18.07
2,4,Florida State ,17.99
3,5,Wisconsin ,17.9
1,7,Louisville ,17.28
1,3,Louisiana State ,16.5
1,6,Maryland ,16.01
2,7,Nevada ,16
1,5,Mississippi State ,15.96
2,6,Buffalo ,15.56
2,10,Florida ,15.42
3,4,Kansas State ,15.39
3,9,Oklahoma ,15.3
2,5,Marquette ,14.78
3,7,Cincinnati ,14.53
3,6,Villanova ,14.33
3,10,Iowa ,14.27
3,12,Oregon ,13.95
4,7,Wofford ,13.92
4,11,Ohio State ,13.89
2,8,Syracuse ,13.73
2,9,Baylor ,13.38
1,9,Central Florida ,13.37
3,11,Saint Mary's (CA) ,12.58
1,10,Minnesota ,12.52
3,8,Mississippi ,12.32
4,9,Washington ,12.01
4,8,Utah State ,11.98
1,8,Virginia Commonwealth ,11.96
2,11,Arizona State ,10.28
4,10,Seton Hall ,10.25
4,12,New Mexico State ,10.05
1,11,Belmont ,9.12
2,12,Murray State ,8.96
3,13,UC-Irvine ,5.7
1,14,Yale ,5.52
1,12,Liberty ,5.27
1,13,Saint Louis ,5.06
2,13,Vermont ,4.88
2,14,Northern Kentucky ,4.67
4,13,Northeastern ,3.95
3,14,Old Dominion ,3.74
4,14,Georgia State ,2.44
2,15,Montana ,1.5
3,15,Colgate ,1.23
1,15,Bradley ,-0.08
4,15,Abilene Christian ,-1.91
3,16,Gardner-Webb ,-2.61
1,16,North Dakota State ,-4.01
4,16,Iona ,-4.78
2,16,Fairleigh Dickinson ,-6.09
