Rk,School,Tourney,G,W,L,W-L%,SRS,SOS,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_Pace,Opp_Ortg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA
1,Abilene Christian ,1,34,27,7,0.794,-1.91,-7.34,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8,0.535,15.5,28.8,0.239,67.2,93.8,0.37,0.333,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267
2,Air Force,,32,14,18,0.438,-4.28,0.24,67.4,99.5,0.283,0.4,0.541,50.1,54.1,7,5.8,0.517,17.4,23.7,0.192,67.4,104.7,0.286,0.462,0.555,49.9,54,10.5,8.2,0.533,15.7,23.8,0.194
3,Akron,,33,17,16,0.515,4.86,1.09,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15,25.3,0.195,68.5,92.9,0.297,0.382,0.481,51.8,45.1,8.2,8.7,0.452,16.6,29.3,0.194
4,Alabama A&M,,32,5,27,0.156,-19.23,-8.38,67.5,88.7,0.25,0.32,0.479,47.1,52.3,10.7,4.7,0.457,19.4,27.6,0.157,67.5,104.5,0.388,0.384,0.558,52.9,53.5,11.3,8.9,0.537,18.3,31.7,0.247
5,Alabama-Birmingham,,35,20,15,0.571,0.36,-1.52,66.6,105.2,0.315,0.346,0.536,52.7,44.3,9.3,7.5,0.511,14.8,30.4,0.212,66.6,100.9,0.314,0.445,0.526,47.3,54.7,7.6,8.4,0.49,15.7,25.4,0.23
6,Alabama State,,31,12,19,0.387,-15.6,-7.84,69.6,95.9,0.388,0.382,0.499,49,44,9.3,9.3,0.465,17.8,30.9,0.253,69.6,102.8,0.361,0.368,0.551,51,54.1,10.3,9.4,0.518,18.8,30.8,0.255
7,Alabama,,34,18,16,0.529,9.45,9.01,69.8,102.8,0.38,0.369,0.533,52,48.8,6.6,11.6,0.503,16.8,31.5,0.253,69.8,102.1,0.296,0.327,0.521,48,43.1,9.3,11.7,0.489,14.7,28,0.21
8,Albany (NY),,32,12,20,0.375,-9.38,-6.7,66.7,99.2,0.322,0.451,0.533,49.7,55.2,9,7.1,0.494,18.4,27.1,0.24,66.7,102.3,0.297,0.391,0.54,50.3,57.2,9.5,12.3,0.519,16.5,27.7,0.194
9,Alcorn State,,31,10,21,0.323,-22.08,-8.97,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213,68.8,102.5,0.355,0.377,0.538,50.1,62.5,11.4,7.7,0.507,16.9,29.1,0.244
10,American,,30,15,15,0.5,-4.19,-7.23,67.7,104.6,0.358,0.355,0.561,50.4,51.5,10.7,11,0.532,16.7,26.1,0.25,67.7,100.2,0.348,0.304,0.52,49.6,50.2,9.2,9.2,0.482,15.5,27.3,0.248
11,Appalachian State,,32,11,21,0.344,-3.73,0.1,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.9,0.529,15.5,26.5,0.261,73.7,106.8,0.336,0.336,0.559,51.4,45.6,9.5,8.9,0.529,15.8,28.7,0.237
12,Arizona State ,1,34,23,11,0.676,10.28,6.04,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298,72.5,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272
13,Arizona,,32,17,15,0.531,8.32,6.32,68.6,102.6,0.333,0.376,0.526,50.5,50.1,7.5,6.6,0.49,14.7,28.4,0.24,68.6,99.7,0.35,0.369,0.538,49.5,47.8,7.8,10.6,0.509,18,25.9,0.238
14,Little Rock,,31,10,21,0.323,-4.87,-2.07,72.7,101.2,0.417,0.345,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273,72.7,103.5,0.385,0.438,0.553,50.2,54.8,7.7,7.1,0.518,17.1,26.9,0.273
15,Arkansas-Pine Bluff,,32,13,19,0.406,-14.43,-8.18,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.5,0.484,19.1,29.1,0.282,67.3,103.7,0.441,0.33,0.548,50.6,55.7,11,9.5,0.513,17.6,29.9,0.298
16,Arkansas State,,32,13,19,0.406,-7.1,-1.23,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8,11.8,0.48,16.6,33.2,0.278,70.2,107.7,0.426,0.368,0.553,48.5,50.9,8.4,9.5,0.506,15.1,29.1,0.316
17,Arkansas,,34,18,16,0.529,11.75,8.78,71.7,104.2,0.384,0.375,0.54,47,60.8,11.2,15.4,0.51,16,28.3,0.256,71.7,100.1,0.417,0.42,0.532,53,54,8.6,9,0.494,19.3,34.5,0.287
18,Army,,32,13,19,0.406,-7.57,-4.73,71.7,98.9,0.241,0.441,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165,71.7,100.5,0.281,0.407,0.549,51.1,52.7,9.4,12.4,0.527,17.2,22.1,0.191
19,Auburn ,1,40,30,10,0.75,20.84,10.92,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6,0.221,69.2,98.4,0.359,0.435,0.545,50.8,52.2,8.1,11.7,0.512,21.3,31.7,0.254
20,Austin Peay,,33,22,11,0.667,0.59,-4.41,71.8,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242,71.8,100.6,0.337,0.378,0.544,48.3,51.9,7.8,7.9,0.514,19,29.1,0.234
21,Ball State,,33,16,17,0.485,3.39,1.21,71.7,103.1,0.375,0.328,0.556,51.5,47.9,9,8.8,0.523,17.7,27.7,0.263,71.7,98.3,0.299,0.349,0.504,48.5,45.4,9.3,8.7,0.47,15.4,28.1,0.21
22,Baylor ,1,34,20,14,0.588,13.38,9.26,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6,0.219,66.5,101.4,0.365,0.382,0.525,45.9,55.6,8.9,12.6,0.491,16.1,28.9,0.249
23,Belmont ,1,33,27,6,0.818,9.12,-2.6,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.211,74.2,98.8,0.27,0.352,0.512,47.8,44.9,8.1,9.9,0.484,14.5,24.1,0.188
24,Bethune-Cookman,,31,14,17,0.452,-11.98,-9.74,74.3,98.6,0.363,0.334,0.514,52.1,53.3,10.1,8.8,0.492,18.4,34.2,0.221,74.3,96.7,0.361,0.357,0.504,47.9,55.9,9.5,10,0.467,17.6,30.2,0.246
25,Binghamton,,33,10,23,0.303,-13.92,-4.69,67.3,96.9,0.245,0.428,0.523,45.6,40.9,8.2,12.6,0.505,16.6,21.4,0.158,67.3,107,0.246,0.39,0.538,54.4,61.6,10.2,9,0.519,14.7,31.1,0.163
26,Boise State,,33,13,20,0.394,3.61,1.08,66.5,106.9,0.324,0.397,0.569,49.8,47.1,9,6.4,0.539,15.4,23.7,0.234,66.5,102.3,0.328,0.403,0.554,50.2,51.8,7.2,8.3,0.518,16.8,24.2,0.243
27,Boston College,,31,14,17,0.452,5.83,7.76,68.4,101.9,0.35,0.38,0.521,48.7,49.7,7.4,9.1,0.485,15.2,28.6,0.244,68.4,104.7,0.294,0.405,0.521,51.3,54.2,8.4,8.6,0.484,14.2,31.5,0.219
28,Boston University,,33,15,18,0.455,-6.61,-5.39,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166,68.1,105.9,0.318,0.397,0.569,48.5,52.4,8.8,8.3,0.539,16.4,24.7,0.232
29,Bowling Green State,,34,22,12,0.647,4.24,0.86,72.8,106.9,0.354,0.357,0.535,53.5,45.2,9.1,7.7,0.507,14.2,31.1,0.237,72.8,100,0.301,0.435,0.529,46.5,47,8.9,7.2,0.5,15.8,23.8,0.209
30,Bradley ,1,35,20,15,0.571,-0.08,-0.9,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8,11.6,0.497,16.7,26.9,0.248,66.2,98.3,0.351,0.398,0.518,49.3,53.3,8.4,7.4,0.477,16.4,26.2,0.254
31,Brigham Young,,32,19,13,0.594,6.15,3.31,71.9,108.5,0.399,0.364,0.566,49,54.9,8.7,8.8,0.528,13.7,23.6,0.29,71.9,104.6,0.354,0.366,0.545,51,51.1,7.9,7.2,0.507,15.5,26.8,0.26
32,Brown,,32,20,12,0.625,-0.62,-3.29,72.6,100.6,0.377,0.41,0.549,50,51.9,10.3,11,0.513,17.6,23.5,0.27,72.6,94.2,0.302,0.409,0.51,50,49.6,9.1,9.3,0.479,18.3,25.6,0.208
33,Bryant,,30,10,20,0.333,-15.19,-7.66,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262,69.2,111.5,0.354,0.381,0.581,52.7,54.8,8.5,11.9,0.549,16.2,30.3,0.261
34,Bucknell,,33,21,12,0.636,0.59,-2.93,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.53,15.5,25.5,0.254,71.4,102.3,0.324,0.346,0.525,50.2,49.8,9.5,9.2,0.492,14.6,27.4,0.228
35,Buffalo ,1,36,32,4,0.889,15.56,2.62,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8,0.225,74.5,94.7,0.315,0.363,0.509,47.6,40.6,7.1,8.5,0.474,18.1,26.3,0.221
36,Butler,,33,16,17,0.485,9.22,8.1,67.1,106.5,0.252,0.428,0.548,48.3,50.4,8.7,5.7,0.521,14.2,25.5,0.186,67.1,104.8,0.363,0.394,0.559,51.7,49.7,7.8,10.7,0.527,16.8,27.4,0.256
37,Cal Poly,,29,6,23,0.207,-13.95,-3.54,66.8,97.5,0.264,0.401,0.5,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171,66.8,110.3,0.374,0.332,0.555,53.2,54.2,7.8,9.9,0.522,13.8,30.6,0.263
38,Cal State Bakersfield,,34,18,16,0.529,-5.12,-2.63,67.6,103.7,0.296,0.326,0.505,53.3,42.7,9.4,10.4,0.477,15.5,37.4,0.199,67.6,103.7,0.517,0.415,0.563,46.7,56.2,7.5,6.8,0.512,18.1,27.8,0.38
39,Cal State Fullerton,,34,16,18,0.471,-3.29,-1.14,70.3,100.1,0.38,0.308,0.54,50.3,46.9,8.2,8.7,0.503,16.6,23.9,0.269,70.3,99.1,0.341,0.333,0.512,49.7,48.5,7.6,6.6,0.478,14.9,25.7,0.233
40,Cal State Northridge,,34,13,21,0.382,-6.54,-3.39,72.1,105,0.321,0.308,0.536,47.9,52.9,9.1,11.3,0.516,14.5,27.7,0.205,72.1,109,0.322,0.358,0.55,52.1,52.3,8.2,7.3,0.516,14.7,31.9,0.238
41,California Baptist,,31,16,15,0.516,-3.89,-4.12,70.1,108.9,0.31,0.43,0.563,52.1,41.5,6.7,7,0.524,15.1,28.2,0.244,70.1,101.5,0.37,0.337,0.521,47.9,44.7,7.9,7,0.48,14.1,25.6,0.264
42,UC-Davis,,31,11,20,0.355,-6.26,-1.5,67,96.5,0.308,0.37,0.531,46.5,51,9.3,7,0.5,17.7,21.5,0.218,67,100.8,0.38,0.377,0.551,53.5,52.3,9.4,9.4,0.52,19,27.7,0.261
43,UC-Irvine ,1,37,31,6,0.838,5.7,-2.3,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34,0.208,66.2,94.8,0.33,0.338,0.48,45.2,43.9,7.8,7.1,0.439,14.6,26.7,0.233
44,UC-Riverside,,33,10,23,0.303,-11.12,-3.19,64.3,101.1,0.237,0.416,0.541,50.5,53.7,7.7,5.4,0.521,17.6,26.9,0.162,64.3,107,0.333,0.364,0.56,49.5,54.2,8.5,6.7,0.532,14.7,24.9,0.232
45,UC-Santa Barbara,,32,22,10,0.688,-1.62,-5.55,66,110.4,0.381,0.327,0.547,54.8,52.2,7.5,9.2,0.51,14.2,34.8,0.273,66,99.3,0.313,0.36,0.513,45.2,46.8,6.6,7.8,0.482,14.7,25.5,0.215
46,University of California,,31,8,23,0.258,-3.16,5.42,68.5,99.5,0.348,0.341,0.525,44.6,45.7,10.7,10,0.486,14.8,23.3,0.251,68.5,112,0.361,0.418,0.596,55.4,55.3,7.2,8.7,0.569,17.9,31.5,0.259
47,Campbell,,33,20,13,0.606,-3.62,-4.39,68,110.7,0.31,0.478,0.571,47.8,55.6,9.7,9.9,0.537,13.4,23.7,0.235,68,103.3,0.341,0.414,0.556,52.2,50.9,8.3,6.9,0.522,17.6,27.1,0.25
48,Canisius,,32,15,17,0.469,-8.79,-4.85,68.5,101.4,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217,68.5,107.1,0.369,0.373,0.567,52.7,48.6,7.8,9.3,0.536,17.9,31.5,0.262
49,Central Arkansas,,33,14,19,0.424,-11.37,-4.81,72,99.5,0.35,0.412,0.537,48.2,57.2,8.4,10.1,0.498,17.7,25.1,0.256,72,104.3,0.339,0.403,0.54,51.8,56.6,8.6,7.5,0.508,15.9,29.3,0.237
50,Central Connecticut State,,31,11,20,0.355,-14.02,-6.71,70.4,99.4,0.348,0.336,0.52,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272,70.4,106.7,0.367,0.445,0.555,49.9,58.5,9.5,10,0.521,16.1,29.5,0.26
51,Central Florida ,1,33,24,9,0.727,13.37,5.58,67.3,107,0.453,0.356,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29,0.294,67.3,95.5,0.292,0.384,0.482,48.5,53.5,8.5,8.1,0.454,15.3,29.2,0.189
52,Central Michigan,,35,23,12,0.657,2.79,-0.34,73.6,110.5,0.417,0.378,0.555,49.6,47.1,10.2,7.4,0.525,14,31.4,0.28,73.6,102.7,0.281,0.357,0.527,50.4,41.9,6.9,12.4,0.501,16.6,32.3,0.193
53,Charleston Southern,,34,18,16,0.529,-2.43,-4.19,71.9,104.5,0.273,0.438,0.528,51,52.6,10.7,9.9,0.505,15.3,30.9,0.185,71.9,96.1,0.31,0.422,0.535,49,55.2,9.4,8.8,0.504,20.1,26.5,0.22
54,Charlotte,,29,8,21,0.276,-8.34,-0.89,65.8,93,0.363,0.426,0.525,48.3,48.2,7.2,11.1,0.481,19.8,21.9,0.27,65.8,104.3,0.326,0.423,0.549,51.7,52.6,10.5,12.8,0.513,15.8,26.1,0.242
55,Chattanooga,,32,12,20,0.375,-7.87,-0.76,69.5,101.6,0.243,0.423,0.54,48.6,50.2,6.2,6.4,0.52,16.3,24.4,0.166,69.5,106.5,0.306,0.354,0.546,51.4,46.3,9.5,8.5,0.518,14.1,26.8,0.215
