year	Lg	Team	W	L	W/L%	SRS	Pace	Rel Pace	ORtg	Rel ORtg	DRtg	Rel DRtg
2018	NBA	Atlanta Hawks	27	48	0.36	-6.12	103.8	3.8	107.9	-2.3	113.4	3.2
2017	NBA	Atlanta Hawks	24	58	0.293	-5.3	98.3	1	105	-3.6	110.6	2
2016	NBA	Atlanta Hawks	43	39	0.524	-1.23	97.4	1	104.9	-3.9	105.7	-3.1
2015	NBA	Atlanta Hawks	48	34	0.585	3.49	97.1	1.3	105.1	-1.3	101.4	-5
2014	NBA	Atlanta Hawks	60	22	0.732	4.75	93.9	0	108.9	3.3	103.1	-2.5
2013	NBA	Atlanta Hawks	38	44	0.463	-0.88	94.6	0.7	105.9	-0.8	106.4	-0.3
2012	NBA	Atlanta Hawks	44	38	0.537	-0.08	92.6	0.6	104.8	-1.1	104.4	-1.5
2011	NBA	Atlanta Hawks	40	26	0.606	2.67	90.2	-1.1	104.9	0.3	101.2	-3.4
2010	NBA	Atlanta Hawks	44	38	0.537	-1.1	89.3	-2.8	106.1	-1.2	107	-0.3
2009	NBA	Atlanta Hawks	53	29	0.646	4.44	90.1	-2.6	111.9	4.3	106.7	-0.9
2008	NBA	Atlanta Hawks	47	35	0.573	1.7	89.6	-2.1	109.3	1	107.6	-0.7
2007	NBA	Atlanta Hawks	37	45	0.451	-2.23	91.1	-1.3	106.9	-0.6	108.9	1.4
2006	NBA	Atlanta Hawks	30	52	0.366	-4.86	90	-1.9	103	-3.5	108.3	1.8
2005	NBA	Atlanta Hawks	26	56	0.317	-4.69	90.4	-0.1	106.4	0.2	111.6	5.4
2004	NBA	Atlanta Hawks	13	69	0.159	-9.62	91.4	0.5	100.6	-5.5	111.1	5
2003	NBA	Atlanta Hawks	28	54	0.341	-5	90.8	0.7	101	-1.9	106.1	3.2
2002	NBA	Atlanta Hawks	35	47	0.427	-3.87	91	0	102.3	-1.3	106.1	2.5
2001	NBA	Atlanta Hawks	33	49	0.402	-4.41	91.9	1.2	101.8	-2.7	106.4	1.9
