Rk,Player,Tm,Salary
1,A.J. Hammons,MIA,350088
2,Aaron Gordon,ORL,21590909
3,Aaron Holiday,IND,1911960
4,Abdel Nader,OKC,1378242
5,Al Horford,BOS,28928710
6,Al Jefferson,IND,4000000
7,Al-Farouq Aminu,POR,6957105
8,Alec Burks,CLE,11536515
9,Alex Abrines,OKC,5455236
10,Alex Len,ATL,4350000
11,Alexis Ajinca,LAC,5285394
12,Alfonzo McKinnie,GSW,1349383
13,Alize Johnson,IND,838464
14,Allen Crabbe,BRK,18500000
15,Allonzo Trier,NYK,3382000
16,Amir Johnson,PHI,2393887
17,Anderson Varejao,POR,1913345
18,Andre Drummond,DET,25434263
19,Andre Iguodala,GSW,16000000
20,Andre Roberson,OKC,10000000
21,Andrew Harrison,MEM,200000
22,Andrew Nicholson,POR,2844429
23,Andrew Wiggins,MIN,25467250
24,Anfernee Simons,POR,1835520
25,Ante Zizic,CLE,1952760
26,Anthony Davis,NOP,25434263
27,Anthony Tolliver,MIN,5750000
28,Antonio Blakeney,CHI,1349383
29,Aron Baynes,BOS,5193600
30,Austin Rivers,PHO,12650000
31,Avery Bradley,LAC,12000000
32,Bam Adebayo,MIA,2955840
33,Ben McLemore,SAC,5460000
34,Ben Moore,IND,160096
35,Ben Simmons,PHI,6434520
36,Bismack Biyombo,CHO,17000000
37,Blake Griffin,DET,32088932
38,Boban Marjanovic,LAC,7000000
39,Bobby Portis,CHI,2494346
40,Bogdan Bogdanovic,SAC,9000000
41,Bojan Bogdanovic,IND,10500000
42,Brad Wanamaker,BOS,838464
43,Bradley Beal,WAS,25434263
44,Brandon Ingram,LAL,5757120
45,Brandon Knight,HOU,14631250
46,Brook Lopez,MIL,3382000
47,Bruce Brown,DET,838464
48,Bruno Caboclo,MEM,90079
49,Bryn Forbes,SAS,3125000
50,Buddy Hield,SAC,3833760
51,C.J. Miles,TOR,8333333
52,C.J. Watson,ORL,333333
53,Caleb Swanigan,POR,1740000
54,Cameron Payne,CLE,174112
55,Cameron Payne,CHI,3263295
56,Caris LeVert,BRK,1702800
57,Carlos Delfino,LAC,650000
58,Carmelo Anthony,CHI,2393887
59,Carmelo Anthony,ATL,25534253
60,Caron Butler,SAC,517219
61,Cedi Osman,CLE,2775000
62,Chandler Hutchison,CHI,1991520
63,Chandler Parsons,MEM,24107258
64,Channing Frye,CLE,2393887
65,Chasson Randle,WAS,869094
66,Cheick Diallo,NOP,1544951
67,Chimezie Metu,SAS,838464
68,Chinanu Onuaku,DAL,1544951
69,Chris Bosh,MIA,26837720
70,Chris Paul,HOU,35654150
71,Christian Wood,MIL,1512601
72,CJ McCollum,POR,25759766
73,Clint Capela,HOU,15293104
74,Cody Zeller,CHO,13528090
75,Cole Aldrich,MIN,685341
76,Collin Sexton,CLE,4068600
77,Corey Brewer,PHI,265988
78,Cory Joseph,IND,7945000
79,Courtney Lee,DAL,12253780
80,Cristiano Felicio,CHI,8470980
81,D'Angelo Russell,BRK,7019698
82,D.J. Augustin,ORL,7250000
83,D.J. Wilson,MIL,2534280
84,Dakari Johnson,MEM,459414
85,Damian Jones,GSW,1544951
86,Damian Lillard,POR,27977689
87,Damyean Dotson,NYK,1378242
88,Daniel Hamilton,ATL,1349383
89,Daniel Theis,BOS,1378242
90,Danilo Gallinari,LAC,21587579
91,Danny Green,TOR,10000000
92,Dante Cunningham,SAS,2500000
93,Dante Exum,UTA,9600000
94,Dario Saric,MIN,2526840
95,Darius Miller,NOP,2205000
96,Darrell Arthur,PHO,7464912
97,Darren Collison,IND,10000000
98,David Nwaba,CLE,1512601
99,Davis Bertans,SAS,7000000
100,Davon Reed,PHO,1378242
101,De'Aaron Fox,SAC,5470920
102,De'Anthony Melton,PHO,949000
103,Deandre Ayton,PHO,8165160
104,DeAndre Jordan,NYK,22900000
105,DeAndre' Bembry,ATL,1634640
106,Dejounte Murray,SAS,1544951
107,Delon Wright,TOR,2536898
108,DeMar DeRozan,SAS,27739975
109,DeMarcus Cousins,GSW,5337000
110,DeMarre Carroll,BRK,15400000
111,Demetrius Jackson,BOS,92857
112,Dennis Schroder,OKC,15500000
113,Dennis Smith,NYK,3819960
114,Denzel Valentine,CHI,2280600
115,Deron Williams,BRK,5474787
116,Derrick Favors,UTA,16900000
117,Derrick Jones,MIA,1512601
118,Derrick Rose,MIN,2176260
119,Derrick White,SAS,1667160
120,Devin Booker,PHO,3314365
121,Devin Harris,DAL,2393887
122,Devonte' Graham,CHO,988464
123,Dewayne Dedmon,ATL,7200000
124,Deyonta Davis,SAC,1544951
125,Dillon Brooks,MEM,1378242
126,Ding Yanyuhang,DAL,4737
127,Dion Waiters,MIA,11550000
128,Dirk Nowitzki,DAL,5000000
129,Domantas Sabonis,IND,2659800
130,Donovan Mitchell,UTA,3111480
131,Donte DiVincenzo,MIL,2481000
132,Dorian Finney-Smith,DAL,1544951
133,Doug McDermott,IND,7333334
134,Dragan Bender,PHO,4661280
135,Draymond Green,GSW,17469565
136,Dwayne Bacon,CHO,1378242
137,Dwight Howard,WAS,5337000
138,Dwight Howard,BRK,18919725
139,Dwight Powell,DAL,9631250
140,Dwyane Wade,MIA,2393887
141,Dzanan Musa,BRK,1632240
142,E'Twaun Moore,NOP,8808685
143,Ed Davis,BRK,4449000
144,Ekpe Udoh,UTA,3360000
145,Elfrid Payton,NOP,3000000
146,Elie Okobo,PHO,1238464
147,Emanuel Terry,DEN,35000
148,Emanuel Terry,PHO,46582
149,Emmanuel Mudiay,NYK,4294480
150,Enes Kanter,NYK,18622514
151,Eric Bledsoe,MIL,15000000
152,Eric Gordon,HOU,13500375
153,Eric Moreland,PHO,239035
154,Ersan Ilyasova,MIL,7000000
155,Evan Fournier,ORL,17000000
156,Evan Turner,POR,17868852
157,Festus Ezeli,POR,333333
158,Frank Jackson,NOP,1378242
159,Frank Kaminsky,CHO,3627842
160,Frank Mason,SAC,1378242
161,Frank Ntilikina,NYK,4155720
162,Fred VanVleet,TOR,8653847
163,Furkan Korkmaz,PHI,1740000
164,Garlon Green,NOP,50000
165,Garrett Temple,MEM,8000000
166,Gary Harris,DEN,16517857
167,Gary Payton,WAS,84034
168,Gary Trent,POR,838464
169,George Hill,MIL,19000000
170,Georges Niang,UTA,1512601
171,Georgios Papagiannis,SAC,2000400
172,Gerald Green,HOU,2393887
173,Giannis Antetokounmpo,MIL,24157304
174,Glenn Robinson,DET,4075000
175,Goran Dragic,MIA,18109175
176,Gordon Hayward,BOS,31214295
177,Gorgui Dieng,MIN,15170787
178,Grayson Allen,UTA,2074320
179,Greg Monroe,TOR,2165481
180,Guerschon Yabusele,BOS,2667600
181,Hamidou Diallo,OKC,838464
182,Harrison Barnes,DAL,24107258
183,Harry Giles,SAC,2207040
184,Hassan Whiteside,MIA,25434263
185,Henry Ellenson,DET,1857480
186,Ian Clark,NOP,1757429
187,Ian Mahinmi,WAS,15944154
188,Ike Anigbogu,IND,1378242
189,Iman Shumpert,SAC,11011234
190,Isaac Bonga,LAL,1000000
191,Isaiah Briscoe,ORL,838464
192,Isaiah Canaan,MIN,97635
193,Isaiah Canaan,PHO,456733
194,Isaiah Hartenstein,HOU,838464
195,Isaiah Taylor,CLE,950000
196,Isaiah Thomas,DEN,2029463
197,Ish Smith,DET,6000000
198,Ivan Rabb,MEM,1378242
199,Ivica Zubac,LAL,1544951
200,J.J. Barea,DAL,3710850
201,J.J. Redick,PHI,12250000
202,J.R. Smith,CLE,14720000
