 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
1,Chris Boucher,bouchch01,PF,26,TOR,1,2,143,0.647,0.5,3,100,0,51.4,0,0,40.4,0,97.3,0.1,0,0.1,1.629,41,-13,27.9,0,9.37
2,Zhou Qi,qizh01,F-C,23,HOU,1,1,79.2,1,0,0,0,0,0,0,0,0,0,41.5,0,0,0,1.204,23.7,-11.6,12.1,0,3.63
3,James Nunnally,nunnaja01,SF,28,MIN,1,4,73.8,0.846,1,0.75,0,0,0,0,0,0,0,53.9,0.1,0,0.1,0.802,34.8,-18.2,16.6,0,5.98
4,Kyle O'Quinn,oquinky01,C,28,IND,5,40,33.5,0.647,0.053,0.316,17.7,31.1,24.5,27.9,1.2,8.8,15.6,28.4,0.2,0.1,0.3,0.343,6.1,7,13.1,0.2,8.93
5,Anthony Davis,davisan02,PF,25,NOP,4,144,33.3,0.599,0.096,0.562,10.9,28.1,19.4,19.1,3.2,8.5,6.2,26.9,0.6,0.3,0.9,0.307,6.4,6,12.4,0.5,17.72
6,Stephen Curry,curryst01,PG,30,GSW,8,269,32.8,0.726,0.574,0.241,1.3,15.2,8.8,25.4,1.7,0.7,10,31.4,1.6,0.3,1.9,0.333,12.9,-2.4,10.5,0.9,31.15
7,Boban Marjanovic,marjabo01,C,30,LAC,7,67,32.6,0.763,0.037,0.815,11.8,30,21.6,5.4,1.4,5.5,16,27.4,0.3,0.2,0.5,0.331,4.2,0.7,5,0.1,7.5
8,Nikola Jokic,jokicni01,C,23,DEN,6,182,31.7,0.694,0.257,0.581,6.4,29.8,18.1,35.3,1.8,2.9,12.3,24,1,0.4,1.4,0.367,8.3,5.5,13.8,0.7,25.14
9,Damian Lillard,lillada01,PG,28,POR,7,240,30.6,0.659,0.405,0.45,2.3,11.1,7.1,30,0.8,0.6,9.3,30.6,1.4,0.2,1.6,0.327,10.5,-1.6,8.9,0.7,25.67
10,Tyler Lydon,lydonty01,PF,22,DEN,2,4,29.1,1,0,0,26.5,0,13.3,0,0,0,0,10.3,0,0,0,0.335,8.2,-4.4,3.8,0,1.14
11,Miles Plumlee,plumlmi01,C,30,ATL,4,39,28.6,0.783,0,0.75,15.3,18.2,16.7,27.7,2.3,0,20,20.9,0.2,0,0.2,0.277,4.7,0.6,5.3,0.1,4.59
12,Nikola Vucevic,vucevni01,C,28,ORL,7,201,28.3,0.639,0.118,0.215,10.6,28.1,18.7,28.3,2.4,2.9,14.3,24.8,0.6,0.3,0.9,0.213,6.1,4,10.1,0.6,18.03
13,Kemba Walker,walkeke02,PG,28,CHO,8,271,28.3,0.61,0.497,0.291,1.2,12.2,6.5,30.6,1.1,1,7.1,33.6,1.2,0.2,1.4,0.242,10.3,-2.9,7.3,0.6,22.19
14,Kevin Durant,duranke01,PF,30,GSW,8,277,28.1,0.651,0.229,0.307,0.9,21.4,12,26.6,1.2,2,10.8,29.8,1.2,0.3,1.5,0.267,5.6,-0.2,5.5,0.5,21.65
15,Nerlens Noel,noelne01,C,24,OKC,6,90,27.8,0.672,0,0.29,18.3,24.8,21.4,5.5,3.6,4.4,2.8,15.7,0.4,0.2,0.6,0.318,3.8,4,7.8,0.2,10.34
16,Jonas Valanciunas,valanjo01,C,26,TOR,8,146,27.5,0.606,0.128,0.346,15,25.2,20.4,10.7,1.3,2.8,8.2,28.1,0.6,0.3,0.8,0.277,3.6,0.3,3.9,0.2,11.17
17,LeBron James,jamesle01,PF,34,LAL,7,252,27.3,0.589,0.293,0.386,3.3,22.9,13.1,32,2.5,1.2,12.3,29.9,0.8,0.2,1,0.193,5.6,0.5,6.1,0.5,16.83
18,Kawhi Leonard,leonaka01,SF,27,TOR,6,208,27,0.61,0.227,0.294,3.2,19.1,11.6,14.5,2.7,1.2,6.3,28.9,0.7,0.4,1.1,0.255,4.6,0.9,5.4,0.4,16.62
19,Jimmy Butler,butleji01,SG,29,MIN,6,202,26.9,0.629,0.275,0.407,5,11.7,8.2,16.3,4.2,3.1,7.7,23.3,0.7,0.2,0.9,0.221,5.9,1.7,7.6,0.5,16.28
20,Dwight Powell,poweldw01,C,27,DAL,7,101,26.7,0.772,0.219,0.625,7.3,20.1,13.3,13.1,3.3,2.5,12.8,19.2,0.5,0.1,0.6,0.273,4.8,1,5.8,0.2,9.74
21,James Harden,hardeja01,SG,29,HOU,4,144,26.2,0.607,0.43,0.43,2.6,17.9,9.2,46.2,2.6,1.1,17.6,32.9,0.4,0.1,0.4,0.148,7.4,0.2,7.6,0.4,10.28
22,Rudy Gobert,goberru01,C,26,UTA,6,204,26,0.771,0,0.731,13.2,30.8,22.6,4,2.1,6.1,16.9,17.4,0.7,0.5,1.2,0.29,2.2,5.6,7.8,0.5,19.34
23,Blake Griffin,griffbl01,PF,29,DET,6,214,25.9,0.602,0.263,0.381,5.6,28.7,16.4,22.1,0.2,1.6,10.4,30.1,0.7,0.2,0.9,0.211,5.6,0,5.6,0.4,14.68
24,Domantas Sabonis,sabondo01,C,22,IND,6,135,25.7,0.669,0.022,0.348,17.5,31.8,24.8,12.9,1.8,1.9,17.2,21,0.5,0.3,0.7,0.261,3.6,2.9,6.5,0.3,11.95
25,Dwayne Bacon,bacondw01,SG,23,CHO,3,21,25.7,0.717,0.5,0.5,0,10.5,5.1,13.9,2.3,0,0,19.9,0.1,0,0.1,0.321,7.3,-3.1,4.3,0,2.29
26,Joel Embiid,embiijo01,C,24,PHI,8,277,25.2,0.579,0.217,0.427,7.2,26,16.7,21.2,0.3,4.7,9.2,30.3,0.8,0.5,1.2,0.21,3.5,1.5,5.1,0.5,18.53
27,Cheick Diallo,diallch01,PF,22,NOP,4,30,25.2,0.661,0,0.429,10.5,35.6,22.9,15.3,1.5,2.7,19.4,27.5,0.1,0,0.1,0.155,1.2,0.7,1.9,0,1.57
28,Henry Ellenson,ellenhe01,PF,22,DET,1,8,25.2,0.595,0.4,0.4,0,43.4,20.2,0,0,0,0,30.8,0,0,0,0.259,-1.8,-10.9,-12.7,0,-3.81
29,JaVale McGee,mcgeeja01,C,31,LAL,7,182,24.9,0.665,0.028,0.292,10.8,14.7,12.8,6.8,1.5,8.7,11.9,20.5,0.5,0.2,0.7,0.185,2,2.4,4.4,0.3,11.32
30,Giannis Antetokounmpo,antetgi01,PF,24,MIL,6,184,24.7,0.553,0.136,0.339,10.7,30.7,22,31.4,1,4.2,18.1,36.7,0.2,0.6,0.7,0.19,0.7,6.8,7.5,0.4,13.25
31,Montrezl Harrell,harremo01,C,25,LAC,7,143,24.7,0.686,0,0.74,3.9,24.1,14.8,8.9,2,6.8,15.3,23,0.4,0.3,0.7,0.236,1.4,4.1,5.6,0.3,11.68
32,DeMar DeRozan,derozde01,SG,29,SAS,6,233,24.4,0.559,0.082,0.306,1.7,16.1,8.4,36.4,1.7,0.4,8.4,30.6,0.7,0.1,0.8,0.166,4.2,-1.1,3.1,0.3,11.93
33,Robert Williams,williro04,C,21,BOS,3,12,24.3,1,0,0,16,0,8.1,12,0,20.8,0,3.6,0,0,0.1,0.346,1.6,13.3,14.9,0.1,6.47
34,Deandre Ayton,aytonde01,C,20,PHO,6,187,24,0.667,0,0.178,6.5,31.5,18.8,22.5,1,1.8,8.2,19.9,0.7,0.1,0.8,0.197,3.4,1.2,4.7,0.3,12.41
35,Nikola Mirotic,mirotni01,PF,27,NOP,6,180,24,0.614,0.436,0.218,8.7,24.9,16.7,6.7,1,1.4,5.9,26.1,0.6,0.1,0.7,0.183,5.5,-3.1,2.4,0.2,9.72
36,Jon Leuer,leuerjo01,PF,29,DET,1,6,23.7,0.694,0.5,1,0,19.3,9,0,0,0,0,20.1,0,0,0,0.294,1.8,-7.2,-5.3,0,-1.59
37,Kyle Lowry,lowryky01,PG,32,TOR,8,279,23.4,0.65,0.515,0.287,1.2,9.7,5.7,43.5,1.9,1.7,16.8,20.6,1.1,0.3,1.4,0.242,6.2,-0.7,5.5,0.5,20.65
38,Nemanja Bjelica,bjeline01,PF,30,SAC,8,220,23.1,0.7,0.418,0.215,4.6,19.3,12,14.9,2.3,2.7,9.4,17.9,0.8,0.3,1.1,0.234,6.2,1.6,7.7,0.5,18.31
39,Larry Nance,nancela02,C,26,CLE,5,104,22.9,0.556,0.027,0.378,10.1,22.4,15.8,28.9,2.8,0,6.5,18.4,0.4,0.1,0.4,0.193,4.3,-0.1,4.2,0.2,7.26
40,Shaquille Harrison,harrish01,PG,25,CHI,3,36,22.8,0.564,0.313,0.625,9.3,14.8,12.1,31.1,4,0,12.8,28.1,0.1,0,0.1,0.133,4.9,-0.5,4.4,0.1,3.32
41,Julius Randle,randlju01,C,24,NOP,6,138,22.8,0.605,0.162,0.419,6.8,27.8,17.2,13.1,1.6,2.4,12.9,29.1,0.3,0.1,0.4,0.15,2.2,-0.4,1.8,0.1,5.54
42,Noah Vonleh,vonleno01,PF,23,NYK,7,136,22.7,0.621,0.091,0.667,13.3,33.2,22.6,13.5,1.4,3.4,8.6,14.3,0.5,0.2,0.7,0.241,2.8,3.1,5.9,0.3,11.77
43,Zach LaVine,lavinza01,SG,23,CHI,7,230,22.7,0.641,0.341,0.434,1,15.3,8.3,17.2,1,1.6,15.9,34.3,0.4,0,0.4,0.076,3.3,-3.5,-0.2,0.1,4.94
44,Zach Collins,colliza01,C,21,POR,7,153,22.5,0.766,0.279,0.419,5.8,15,10.9,9.7,1.3,7,16.4,16.9,0.5,0.3,0.8,0.255,4,4.2,8.1,0.4,14.43
45,Danilo Gallinari,gallida01,SF,30,LAC,7,202,22.5,0.615,0.327,0.367,5.6,15.6,11,7.8,1.2,1.5,5.8,25.1,0.7,0.3,1,0.227,4.8,-1.4,3.5,0.3,14.05
46,Ante Zizic,zizican01,C,22,CLE,6,39,22.5,0.682,0,0.909,13.5,18.9,16,15.3,1.2,0,16.3,19.6,0.1,0,0.1,0.177,3.2,-2.8,0.4,0,1.12
47,Georges Niang,niangge01,PF,25,UTA,6,48,22.4,0.807,0.647,0.294,2.5,17.8,10.7,7,1,1.6,9.4,19,0.2,0.1,0.3,0.27,5.8,0.3,6.1,0.1,5.83
48,Enes Kanter,kanteen01,C,26,NYK,7,191,22.3,0.597,0.036,0.181,13.1,33.6,22.8,14,1.3,1,15.9,23.3,0.4,0.3,0.6,0.157,1.9,1.1,2.9,0.2,8.87
49,Jusuf Nurkic,nurkiju01,C,24,POR,7,168,22.3,0.558,0.114,0.304,15.3,24.1,20.1,8.6,2,2.7,15.2,26.7,0.2,0.3,0.6,0.162,0.1,1.4,1.5,0.1,7.45
50,DeAndre Jordan,jordade01,C,30,DAL,7,241,22.2,0.703,0,0.561,12.3,38.6,24.7,12.8,0.8,4.2,17.4,14.8,0.7,0.3,1,0.197,0.5,2.6,3.1,0.3,13.93
51,Russell Westbrook,westbru01,PG,30,OKC,4,132,22.2,0.523,0.173,0.407,4.4,27.4,15.4,43.4,2.4,0.6,16.6,34.1,0,0.2,0.3,0.095,3.1,3.4,6.6,0.3,7.98
52,Will Barton,bartowi01,SG,28,DEN,2,54,22.1,0.725,0.429,0.19,0,19.7,9.8,17.2,0.9,3.3,11.6,19.7,0.2,0.1,0.3,0.241,2.9,2.2,5.1,0.1,5.53
53,Khris Middleton,middlkh01,SF,27,MIL,7,214,21.8,0.693,0.56,0.341,1,14.6,8.7,17.9,2.1,0.7,14,23.2,0.7,0.5,1.2,0.273,5.4,2.5,7.9,0.5,19.37
54,Drew Eubanks,eubandr01,PF,21,SAS,2,6,21.5,0.694,0,1,0,0,0,0,0,0,0,20.6,0,0,0,0.235,0.4,-6.8,-6.4,0,-1.92
55,Willie Cauley-Stein,caulewi01,C,25,SAC,8,242,21.3,0.563,0,0.324,9.7,20.5,15.1,12.5,1.5,1.1,6.1,22.5,0.6,0.3,0.9,0.169,2.1,-0.1,1.9,0.2,11.57
56,Gary Harris,harriga01,SG,24,DEN,6,200,20.9,0.578,0.283,0.293,3.2,9,6.1,18,1.7,1.3,2.8,22.1,0.6,0.3,0.9,0.218,3.3,0.9,4.2,0.3,13.26
57,Devin Booker,bookede01,SG,22,PHO,4,137,20.9,0.649,0.437,0.465,0.8,14.4,7.4,36.8,1,0,20.5,34.1,0.2,0,0.2,0.081,4.9,-3.5,1.4,0.1,3.42
58,Willy Hernangomez,hernawi01,C,24,CHO,7,97,20.7,0.639,0.167,0.633,15.1,26.2,20.5,7.2,2,0.9,17.3,20.5,0.3,0.1,0.4,0.194,1.4,-0.6,0.8,0.1,5.24
59,Brad Wanamaker,wanambr01,PG,29,BOS,2,6,20.6,0.615,0.25,0.5,0,16.3,8.1,0,0,0,17,41.9,0,0,0,0.08,-6.3,-7.6,-14,0,-4.2
60,Sam Dekker,dekkesa01,PF,24,CLE,6,96,20.5,0.666,0.28,0.32,6.6,26.8,15.9,10.4,4,0,9.5,13.6,0.3,0.1,0.4,0.178,2.6,0.3,3,0.1,5.9
61,Victor Oladipo,oladivi01,SG,26,IND,7,230,20.4,0.54,0.289,0.227,2.1,18.2,10.3,23.1,2.1,0.8,10.2,30.2,0.2,0.4,0.6,0.126,2.2,0.8,3,0.3,9.9
62,Mitchell Robinson,robinmi01,C,20,NYK,5,67,20.4,0.709,0,0.4,15,6.7,11.1,2.2,2.2,2.7,5.4,11.6,0.2,0.1,0.3,0.213,3.8,0.6,4.5,0.1,5.35
63,Kosta Koufos,koufoko01,C,29,SAC,2,25,20.4,0.714,0,0,4.1,32.4,18.3,5.4,1.8,3.4,0,11.6,0.1,0,0.1,0.226,0.6,1.5,2.2,0,1.66
64,Aron Baynes,baynear01,C,32,BOS,4,58,20.3,0.57,0.4,0.28,16.6,16.9,16.7,11.7,0,1.4,6.6,22.2,0.2,0.1,0.3,0.251,3.2,0.8,4,0.1,5.2
65,Pau Gasol,gasolpa01,C,38,SAS,6,105,20.3,0.623,0.192,0.462,9.6,26.8,17.5,23.6,0.5,2.4,13.8,14.8,0.3,0.1,0.4,0.18,1.5,0.9,2.4,0.1,5.72
66,Ed Davis,davised01,C,29,BRK,7,118,20.2,0.605,0,0.448,20.5,32.8,27,8.8,0.8,1.8,12.6,14.6,0.3,0.1,0.5,0.193,0.1,1.4,1.5,0.1,6.45
67,T.J. Warren,warretj01,SF,25,PHO,6,139,20.1,0.615,0.329,0.129,6.4,11.6,9,9.3,1.4,2.4,8.6,25.3,0.2,0,0.3,0.097,2.4,-2.4,0,0.1,4
68,Cody Zeller,zelleco01,C,26,CHO,8,176,20,0.687,0.061,0.327,10.1,18.2,14,9.6,1.4,2.5,12.5,15.6,0.6,0.2,0.8,0.21,2.8,1,3.7,0.3,12.11
69,Chris Paul,paulch01,PG,33,HOU,4,133,20,0.531,0.377,0.393,2.8,17.5,9.2,40.1,2.5,0,13.3,25.8,0.3,0.1,0.3,0.11,2.9,-0.5,2.3,0.1,4.69
