Rk,Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
484,Troy Williams,"$34,183",SF,24,SAC,18,286,11.2,0.55,0.471,0.172,3.2,17.1,10,4.6,1.6,2.4,7.9,14.7,0.2,0.3,0.5,0.077,-1.9,-0.2,-2,0,$14.63
202,Shaquille Harrison,"$50,000",PG,25,CHI,43,750,10.9,0.463,0.264,0.338,2.2,14.5,8.3,13.3,3.2,1.9,11.4,16.4,-0.5,0.9,0.5,0.031,-3.8,1.8,-2.1,0,$10.00
416,Pascal Siakam,"$1,544,951",PF,24,TOR,52,1635,18.3,0.633,0.205,0.309,5.6,18,11.9,13.5,1.5,1.7,12.8,19,3.8,2.1,5.9,0.173,2,1.7,3.7,2.3,$3.82
67,Malcolm Brogdon,"$1,544,951",SG,26,MIL,46,1358,17.6,0.62,0.31,0.209,3.7,11.9,8.1,16.2,1.2,0.7,11.3,20.3,3.1,1.8,4.9,0.174,1.8,-0.1,1.7,1.3,$3.17
337,Monte Morris,"$1,349,383",PG,23,DEN,51,1256,16.5,0.573,0.32,0.104,1.8,9.6,5.7,22,1.9,0.1,6.9,16.9,2.9,1.1,4,0.153,1.7,-1.4,0.3,0.7,$2.96
372,Cameron Payne,"$174,112",PG,24,TOT,40,712,11.7,0.519,0.377,0.184,2,9.2,5.5,22.5,1.9,1.1,15.7,17.7,0.1,0.4,0.5,0.033,-2,-1.5,-3.5,-0.3,$2.87
438,Emanuel Terry,"$35,000",PF,22,PHO,2,20,20.2,0.654,0,0.333,11.1,22.8,16.9,8.1,7.2,0,22.5,19.2,0,0,0.1,0.131,-1,3,2,0,$2.86
288,Kevon Looney,"$1,567,007",C,22,GSW,51,1073,17.7,0.641,0.041,0.317,14.2,16,15.2,11.5,1.3,3.4,10.9,12.3,3.2,1.2,4.4,0.197,2.5,1.9,4.3,1.7,$2.81
133,Spencer Dinwiddie,"$1,656,092",PG,25,BRK,49,1399,17.7,0.598,0.44,0.418,1.6,7.7,4.6,27.9,1,0.6,13.9,24.8,3.3,0.8,4.1,0.142,3,-2.6,0.4,0.8,$2.48
11,Jarrett Allen,"$2,034,120",C,20,BRK,51,1365,19.2,0.626,0.084,0.466,10.3,24.6,17.4,8.4,1.1,4.5,13.3,16.3,3,2,5,0.176,-0.1,3,2.8,1.7,$2.46
76,Thomas Bryant,"$1,378,242",C,21,WAS,41,783,21,0.709,0.153,0.298,7.6,25.7,16.4,8.5,0.9,3.3,9.8,16.1,2.4,0.8,3.2,0.196,1,0.4,1.4,0.7,$2.32
236,Demetrius Jackson,"$92,857",PG,24,PHI,6,39,21,0.656,0.4,0.267,5.7,2.7,4.1,19.7,2.4,0,5.6,19.1,0.2,0,0.2,0.236,4.4,-3.4,1,0,$2.15
115,Mitch Creek,"$46,582",SF,26,BRK,2,19,15.1,0.518,0,0.8,5.6,22.7,14.1,7.3,2.5,0,0,15,0,0,0.1,0.165,-2.9,0.1,-2.7,0,$2.15
405,Domantas Sabonis,"$2,659,800",C,22,IND,49,1220,22.9,0.647,0.02,0.413,12,29,20.7,17.5,1.2,1.7,16.3,23.1,3.3,2.2,5.5,0.217,2.1,2.1,4.1,1.9,$2.07
221,Richaun Holmes,"$1,600,520",C,25,PHO,47,773,22.7,0.697,0,0.474,10.9,20.4,15.6,8.3,1.8,6.1,11.8,17.5,2.4,0.8,3.2,0.201,1.1,2.1,3.3,1,$2.00
40,Malik Beasley,"$1,773,840",SG,22,DEN,51,1186,15.2,0.629,0.538,0.087,1.8,10,6,7.8,1.4,0.5,6.2,17.5,2.5,0.9,3.4,0.138,2.3,-1.9,0.4,0.7,$1.92
439,Daniel Theis,"$1,378,242",C,26,BOS,38,565,17.3,0.618,0.246,0.335,10.9,18.2,14.5,10.5,1,3.5,9.9,16.2,1.5,0.9,2.4,0.203,1,1.4,2.4,0.6,$1.74
350,Nerlens Noel,"$1,757,429",C,24,OKC,47,675,19.9,0.606,0,0.273,11.8,21.2,16.4,5,3.2,8.4,12.8,13.6,1.2,1.8,3,0.212,-1.7,6.1,4.4,1.1,$1.71
21,Ryan Arcidiacono,"$1,349,383",PG,24,CHI,51,1287,10.5,0.587,0.661,0.198,1.2,8.8,5,19,1.9,0.1,14,10.5,1.5,0.8,2.3,0.085,-0.5,-0.7,-1.2,0.3,$1.70
160,Dorian Finney-Smith,"$1,544,951",SF,25,DAL,51,1253,11.6,0.566,0.484,0.229,7.7,11.8,9.8,4.4,2,1.7,12.2,13.4,1.1,1.5,2.5,0.098,-0.3,1.3,1,1,$1.62
457,Noah Vonleh,"$1,621,415",PF,23,NYK,51,1358,14.4,0.556,0.326,0.371,7.1,27.7,17,11.5,1.4,2.8,15,14.5,1.3,1.3,2.6,0.093,-1.2,2.1,0.9,1,$1.60
271,Kyle Kuzma,"$1,689,840",SF,23,LAL,48,1574,14.9,0.558,0.397,0.228,2.6,15.1,9.1,11.3,1,0.9,11.1,24,1.1,1.6,2.7,0.083,-0.1,-0.9,-1,0.4,$1.60
263,Maxi Kleber,"$1,378,242",PF,27,DAL,46,874,13.4,0.574,0.594,0.21,6.4,15.6,11.1,5.5,1.3,5.3,10.6,13.3,1,1.2,2.2,0.122,-0.7,2.7,2,0.9,$1.60
473,Derrick White,"$1,667,160",PG,24,SAS,44,1113,15,0.589,0.258,0.268,2.2,12.4,7.4,19.8,2,1.7,15.4,16.9,1.5,1.1,2.6,0.112,0.5,0.7,1.2,0.9,$1.56
398,Mitchell Robinson,"$1,485,440",C,20,NYK,36,618,18.7,0.663,0,0.405,12.4,12.4,12.4,4.8,2,9.7,11.8,11.1,1.4,0.8,2.2,0.169,0.2,5.2,5.4,1.1,$1.48
104,John Collins,"$2,299,080",PF,21,ATL,35,1042,21.8,0.643,0.189,0.288,12.6,22.6,17.5,12.7,0.5,1.1,12.6,23.4,2.9,0.5,3.4,0.156,3.2,-1.4,1.8,1,$1.48
298,Shelvin Mack,"$1,000,000",PG,28,MEM,51,1162,11.7,0.51,0.325,0.2,1.7,8.3,5,24.2,1.8,0.2,12.8,18.3,0.3,1.1,1.4,0.056,-1.9,-1.5,-3.4,-0.4,$1.40
253,Derrick Jones,"$1,512,601",SF,21,MIA,37,668,16.7,0.578,0.256,0.36,10.5,15.2,12.8,4.1,2.2,3.3,9.6,16.6,1,1,2.1,0.15,-0.5,1.1,0.6,0.4,$1.39
