,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,27,8.7,1.6,-3.2,0.0,11.2,0.30000000000000004,0.221,20,417,Tariq Abdul-Wahad,-3.2,10.2,-0.2,10.3,['SHOOTING GUARD'],abdulta01,2.3,DENVER NUGGETS,0.013999999999999999,10.7,0.424,13.1,19.7,-0.1,0.0,0.005,advanced_2002.csv
1,1,27,10.4,3.0,-3.0,6.1,18.2,0.0,0.5,4,24,Tariq Abdul-Wahad,-9.1,9.4,-0.1,0.30000000000000004,['SHOOTING GUARD'],abdulta01,4.3,DALLAS MAVERICKS,0.0,13.9,0.0,55.1,10.2,0.0,-0.1,-0.128,advanced_2002.csv
2,2,25,15.1,2.0,2.0,0.8,19.2,3.1,0.40299999999999997,77,2980,Shareef Abdur-Rahim,1.2,7.6,4.1,19.8,['POWER FORWARD'],abdursh01,1.7000000000000002,ATLANTA HAWKS,0.054000000000000006,13.3,0.536,14.1,27.0,3.0,7.2,0.11599999999999999,advanced_2002.csv
3,3,24,11.3,0.4,-2.1,-1.6,9.3,0.6000000000000001,0.255,56,1325,Courtney Alexander,-0.5,3.7,1.6,13.6,['SHOOTING GUARD'],alexaco02,1.4,WASHINGTON WIZARDS,0.038,6.5,0.521,10.2,20.4,0.0,2.2,0.08,advanced_2002.csv
4,4,32,11.5,0.7000000000000001,-11.4,-3.5,26.6,0.1,0.157,15,97,Victor Alexander,-7.9,8.6,-0.30000000000000004,9.2,['CENTER'],alexavi01,0.0,DETROIT PISTONS,0.039,17.6,0.36700000000000005,8.4,28.9,-0.2,-0.1,-0.073,advanced_2002.csv
5,5,23,5.5,3.8,-1.4,0.9,16.6,0.30000000000000004,0.196,12,161,Malik Allen,-2.3,11.0,0.2,15.0,['POWER FORWARD'],allenma01,1.0,MIAMI HEAT,0.02,13.8,0.469,3.5,17.0,0.0,0.5,0.141,advanced_2002.csv
6,6,26,19.4,0.5,4.3,-2.2,10.1,1.3,0.213,69,2525,Ray Allen*,6.4,3.9,7.6,21.6,['SHOOTING GUARD'],allenra02,1.9,MILWAUKEE BUCKS,0.46,7.1,0.598,11.2,26.2,4.0,8.9,0.16899999999999998,advanced_2002.csv
7,7,25,36.4,0.2,-3.3,-2.1,11.4,0.5,0.152,50,600,Rafer Alston,-1.1,2.0,0.30000000000000004,13.9,['POINT GUARD'],alstora01,2.8,MILWAUKEE BUCKS,0.37200000000000005,6.9,0.434,16.4,19.0,-0.2,0.7000000000000001,0.059,advanced_2002.csv
8,8,31,7.8,1.4,-8.3,-2.1,11.8,0.30000000000000004,0.633,54,586,John Amaechi,-6.2,10.6,-1.0,5.4,['POWER FORWARD'],amaecjo01,0.6000000000000001,UTAH JAZZ,0.0,11.2,0.412,20.6,20.6,-0.9,-0.7000000000000001,-0.055999999999999994,advanced_2002.csv
9,9,23,4.2,7.9,-1.9,2.2,17.4,0.30000000000000004,0.37799999999999995,24,262,Chris Andersen,-4.1,15.8,0.0,13.8,['CENTER'],anderch01,1.4,DENVER NUGGETS,0.054000000000000006,16.5,0.41700000000000004,13.1,17.0,0.0,0.30000000000000004,0.057999999999999996,advanced_2002.csv
10,10,27,18.6,0.30000000000000004,0.9,-1.1,9.1,1.5,0.34,70,1860,Derek Anderson,2.0,2.9,3.8,15.5,['SHOOTING GUARD'],anderde01,2.0,PORTLAND TRAIL BLAZERS,0.373,6.0,0.5379999999999999,11.0,19.4,1.3,5.3,0.13699999999999998,advanced_2002.csv
11,11,31,28.1,0.30000000000000004,-0.30000000000000004,1.1,10.1,3.5,0.184,76,2430,Kenny Anderson,-1.5,2.5,1.7000000000000002,13.6,['POINT GUARD'],anderke01,3.0,BOSTON CELTICS,0.046,6.2,0.472,13.3,16.7,1.0,5.2,0.103,advanced_2002.csv
12,12,34,10.2,1.9,-6.9,-1.1,16.3,0.2,0.118,15,219,Nick Anderson,-5.7,0.5,-0.6000000000000001,4.9,['SHOOTING GUARD'],anderni01,1.4,MEMPHIS GRIZZLIES,0.632,8.4,0.375,14.9,19.5,-0.30000000000000004,-0.4,-0.08,advanced_2002.csv
