,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,30,9.2,1.5,-2.1,0.0,16.4,1.7000000000000002,0.358,80,2015,Shareef Abdur-Rahim,-2.1,7.0,1.1,13.1,['CENTER'],abdursh01,1.3,SACRAMENTO KINGS,0.031,11.6,0.524,13.3,19.5,-0.1,2.8,0.067,advanced_2007.csv
1,1,22,4.5,0.6000000000000001,-3.6,-1.2,9.9,0.5,0.267,61,495,Hassan Adams,-2.4,8.4,0.5,13.0,['SHOOTING GUARD'],adamsha01,1.8,NEW JERSEY NETS,0.006999999999999999,9.2,0.5770000000000001,12.7,16.3,-0.2,1.0,0.095,advanced_2007.csv
2,2,22,5.0,1.1,-9.3,-1.8,11.0,0.2,0.471,32,214,Maurice Ager,-7.5,0.6000000000000001,-0.5,2.9,['SHOOTING GUARD'],agerma01,1.0,DALLAS MAVERICKS,0.214,5.9,0.408,15.1,21.7,-0.4,-0.30000000000000004,-0.06,advanced_2007.csv
3,3,21,3.2,4.2,-0.9,-0.6000000000000001,15.3,1.0,0.24,63,1392,LaMarcus Aldridge,-0.30000000000000004,12.6,2.5,17.1,['CENTER'],aldrila01,0.9,PORTLAND TRAIL BLAZERS,0.004,13.9,0.5329999999999999,7.5,19.3,0.4,3.4,0.118,advanced_2007.csv
4,4,28,4.2,2.0,-5.2,-0.30000000000000004,13.7,1.1,0.132,60,638,Malik Allen,-4.9,7.6,-0.2,10.4,['POWER FORWARD'],allenma01,1.4,CHICAGO BULLS,0.004,10.6,0.44299999999999995,7.1,20.5,-0.5,1.0,0.073,advanced_2007.csv
5,5,31,19.0,0.4,3.4,-2.1,10.4,0.9,0.268,55,2219,Ray Allen*,5.4,3.1,5.4,21.6,['SHOOTING GUARD'],allenra02,1.9,SEATTLE SUPERSONICS,0.384,6.7,0.5640000000000001,10.7,29.5,3.0,6.3,0.136,advanced_2007.csv
6,6,25,12.5,1.2,1.1,1.1,13.6,1.1,0.517,33,805,Tony Allen,0.0,5.1,0.8,17.0,['SHOOTING GUARD'],allento01,3.2,BOSTON CELTICS,0.127,9.2,0.596,19.1,22.1,0.6000000000000001,1.9,0.111,advanced_2007.csv
7,7,30,24.1,0.30000000000000004,1.3,0.9,9.5,4.9,0.17400000000000002,82,3040,Rafer Alston,0.4,1.1,1.7000000000000002,12.9,['POINT GUARD'],alstora01,2.2,HOUSTON ROCKETS,0.519,5.3,0.496,13.4,19.4,2.5,6.6,0.104,advanced_2007.csv
8,8,24,0.0,0.0,-5.1,0.2,0.0,0.0,0.0,1,2,Lou Amundson,-5.3,0.0,0.0,0.0,['POWER FORWARD'],amundlo01,0.0,UTAH JAZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,advanced_2007.csv
9,9,24,1.7000000000000002,7.1,-4.1,1.4,20.6,0.1,0.667,10,87,Lou Amundson,-5.5,18.0,-0.1,9.8,['POWER FORWARD'],amundlo01,0.6000000000000001,PHILADELPHIA 76ERS,0.0,19.3,0.412,20.5,13.0,0.0,0.1,0.04,advanced_2007.csv
10,10,24,13.8,0.0,-4.0,-1.8,10.0,0.1,0.28400000000000003,17,256,Alan Anderson,-2.2,4.9,0.0,10.1,['SHOOTING GUARD'],anderal01,1.4,CHARLOTTE BOBCATS,0.247,7.4,0.5379999999999999,19.4,20.1,-0.1,0.1,0.024,advanced_2007.csv
11,11,32,17.6,0.5,1.0,-0.4,8.6,0.9,0.361,50,1190,Derek Anderson,1.5,2.8,2.0,13.7,['SMALL FORWARD'],anderde01,2.3,CHARLOTTE BOBCATS,0.517,5.6,0.586,14.1,15.1,0.9,2.9,0.11699999999999999,advanced_2007.csv
12,12,22,19.2,0.7000000000000001,2.0,-1.1,11.1,2.1,0.391,65,2486,Carmelo Anthony,3.1,6.6,5.2,22.1,['SMALL FORWARD'],anthoca01,1.5,DENVER NUGGETS,0.103,8.9,0.552,12.1,33.4,2.5,7.3,0.14,advanced_2007.csv
13,13,26,6.1,0.7000000000000001,-5.2,-0.7000000000000001,21.5,0.30000000000000004,0.446,28,248,Rafael Araújo,-4.5,10.8,-0.1,8.3,['CENTER'],araujra01,1.3,UTAH JAZZ,0.0,16.2,0.46299999999999997,17.9,17.1,-0.2,0.1,0.027000000000000003,advanced_2007.csv
14,14,25,27.2,0.30000000000000004,5.0,-2.0,11.1,1.5,0.46399999999999997,74,2942,Gilbert Arenas,7.0,2.3,9.3,24.0,['POINT GUARD'],arenagi01,2.4,WASHINGTON WIZARDS,0.377,6.6,0.5650000000000001,11.2,31.4,5.2,10.8,0.177,advanced_2007.csv
15,15,21,8.9,1.2,1.5,1.2,14.2,1.9,0.461,57,1278,Trevor Ariza,0.2,9.7,1.5,16.2,['SHOOTING GUARD'],arizatr01,2.5,ORLANDO MAGIC,0.019,12.0,0.5670000000000001,15.8,19.2,1.1,3.4,0.128,advanced_2007.csv
16,16,38,24.8,0.4,1.1,-0.6000000000000001,9.3,1.5,0.247,81,1275,Darrell Armstrong,1.7000000000000002,3.0,1.7000000000000002,15.1,['POINT GUARD'],armstda01,2.9,INDIANA PACERS,0.5680000000000001,6.1,0.547,15.4,17.4,1.0,3.2,0.121,advanced_2007.csv
17,17,22,2.5,3.3,-2.6,0.5,17.0,0.7000000000000001,0.536,56,634,Hilton Armstrong,-3.1,10.3,0.5,12.2,['CENTER'],armsthi01,1.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,0.0,13.6,0.5700000000000001,18.5,13.6,-0.1,1.2,0.091,advanced_2007.csv
18,18,27,27.1,0.1,-2.0,-1.6,9.5,1.3,0.34700000000000003,72,1304,Carlos Arroyo,-0.4,3.0,1.2,14.4,['POINT GUARD'],arroyca01,1.6,ORLANDO MAGIC,0.107,6.3,0.501,14.0,22.8,0.0,2.5,0.094,advanced_2007.csv
19,19,32,27.9,0.1,-0.6000000000000001,-4.1,7.0,-0.2,0.435,75,2064,Chucky Atkins,3.5,1.0,5.1,17.4,['POINT GUARD'],atkinch01,1.2,MEMPHIS GRIZZLIES,0.428,4.0,0.58,13.0,21.4,0.7000000000000001,4.9,0.114,advanced_2007.csv
20,20,22,48.9,0.0,5.0,1.8,34.4,0.0,0.0,2,7,James Augustine,3.3,18.0,0.0,16.6,['POWER FORWARD'],augusja01,0.0,ORLANDO MAGIC,0.0,26.4,0.33299999999999996,0.0,19.9,0.0,0.0,0.168,advanced_2007.csv
21,21,23,6.2,1.1,-2.7,-1.6,11.4,0.5,0.355,41,669,Kelenna Azubuike,-1.1,4.2,0.7000000000000001,13.4,['SHOOTING GUARD'],azubuke01,1.6,GOLDEN STATE WARRIORS,0.359,7.7,0.5720000000000001,13.3,18.7,-0.1,1.2,0.083,advanced_2007.csv
22,22,22,7.0,3.3,1.4,2.4,21.8,1.7000000000000002,0.327,68,1064,Renaldo Balkman,-1.0,11.0,1.1,16.1,['SMALL FORWARD'],balkmre01,2.8,NEW YORK KNICKS,0.098,16.4,0.531,13.5,15.5,0.9,2.8,0.125,advanced_2007.csv
23,23,25,17.4,0.4,-4.1,-1.3,6.2,0.4,0.306,45,503,Marcus Banks,-2.8,2.4,-0.1,11.3,['POINT GUARD'],banksma01,2.3,PHOENIX SUNS,0.14800000000000002,4.4,0.49700000000000005,15.2,23.5,-0.30000000000000004,0.4,0.037000000000000005,advanced_2007.csv
24,24,24,18.7,0.4,2.9,-0.9,8.1,2.1,0.209,80,2613,Leandro Barbosa,3.8,1.0,6.1,18.4,['SHOOTING GUARD'],barbole01,1.8,PHOENIX SUNS,0.39399999999999996,4.8,0.595,10.7,23.4,3.2,8.2,0.151,advanced_2007.csv
25,25,22,20.4,0.4,-5.4,-2.6,11.1,0.2,0.308,33,191,J.J. Barea,-2.8,4.5,-0.1,9.6,['POINT GUARD'],bareajo01,0.30000000000000004,DALLAS MAVERICKS,0.26899999999999996,7.9,0.44,13.7,25.0,-0.2,0.1,0.015,advanced_2007.csv
