,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,24,10,54,19,0,5,35,23,0,23,11,0,196,Jeff Adrien,23,28,['POWER FORWARD'],adrieje01,4,GOLDEN STATE WARRIORS,9,totals_2011.csv
1,1,25,168,627,163,248,31,206,69,69,312,138,105,2324,Arron Afflalo,45,153,['SHOOTING GUARD'],afflaar01,34,DENVER NUGGETS,71,totals_2011.csv
2,2,26,1,11,0,4,0,2,4,0,6,0,3,29,Maurice Ager,0,4,['SHOOTING GUARD'],agerma01,1,MINNESOTA TIMBERWOLVES,4,totals_2011.csv
3,3,22,2,32,3,7,5,12,10,2,12,2,3,75,Alexis Ajinça,5,13,['CENTER'],ajincal01,3,DALLAS MAVERICKS,1,totals_2011.csv
4,4,22,8,101,15,27,14,49,24,0,47,11,9,265,Alexis Ajinça,12,60,['CENTER'],ajincal01,8,TORONTO RAPTORS,17,totals_2011.csv
5,5,22,2,15,2,0,2,7,12,0,3,0,0,59,Solomon Alabi,7,5,['CENTER'],alabiso01,2,TORONTO RAPTORS,3,totals_2011.csv
6,6,22,4,15,4,0,7,22,18,0,8,2,0,142,Cole Aldrich,13,30,['CENTER'],aldrico01,5,OKLAHOMA CITY THUNDER,8,totals_2011.csv
7,7,25,170,1415,444,23,94,431,81,81,707,351,4,3211,LaMarcus Aldridge,278,220,['POWER FORWARD'],aldrila01,82,PORTLAND TRAIL BLAZERS,153,totals_2011.csv
8,8,32,4,31,2,0,4,20,18,0,11,1,0,178,Malik Allen,12,30,['POWER FORWARD'],allenma01,1,ORLANDO MAGIC,3,totals_2011.csv
9,9,35,219,978,219,378,16,223,80,80,480,193,168,2890,Ray Allen*,51,147,['SHOOTING GUARD'],allenra02,77,BOSTON CELTICS,117,totals_2011.csv
10,10,29,104,492,182,23,44,123,72,31,251,137,4,1494,Tony Allen,70,161,['SHOOTING GUARD'],allento01,129,MEMPHIS GRIZZLIES,86,totals_2011.csv
11,11,20,60,406,119,143,25,192,81,14,160,92,45,1452,Al-Farouq Aminu,75,121,['SMALL FORWARD'],aminual01,59,LOS ANGELES CLIPPERS,103,totals_2011.csv
12,12,28,17,183,87,0,33,104,46,7,83,34,0,691,Lou Amundson,81,87,['POWER FORWARD'],amundlo01,14,GOLDEN STATE WARRIORS,24,totals_2011.csv
13,13,32,20,137,135,1,58,144,45,0,82,86,0,732,Chris Andersen,75,79,['CENTER'],anderch01,23,DENVER NUGGETS,25,totals_2011.csv
14,14,30,7,47,7,10,3,26,11,0,23,7,3,150,David Andersen,8,11,['POWER FORWARD'],anderda03,3,TORONTO RAPTORS,8,totals_2011.csv
15,15,30,6,74,15,13,6,38,29,0,33,7,5,223,David Andersen,12,29,['POWER FORWARD'],anderda03,2,NEW ORLEANS HORNETS,14,totals_2011.csv
16,16,21,18,81,18,46,6,21,26,2,31,14,18,286,James Anderson,2,24,['SMALL FORWARD'],anderja01,3,SAN ANTONIO SPURS,13,totals_2011.csv
17,17,22,52,525,117,341,38,226,64,14,226,95,134,1424,Ryan Anderson,129,137,['POWER FORWARD'],anderry01,30,ORLANDO MAGIC,49,totals_2011.csv
18,18,26,140,967,417,126,31,305,50,50,437,343,42,1774,Carmelo Anthony,77,134,['SMALL FORWARD'],anthoca01,43,DENVER NUGGETS,142,totals_2011.csv
19,19,26,81,536,188,125,15,140,27,27,247,164,53,977,Carmelo Anthony,41,90,['SMALL FORWARD'],anthoca01,25,NEW YORK KNICKS,64,totals_2011.csv
20,20,28,24,99,73,0,93,162,75,11,53,47,0,1463,Joel Anthony,104,194,['CENTER'],anthojo01,10,MIAMI HEAT,36,totals_2011.csv
21,21,29,117,330,67,145,12,64,21,14,130,56,47,726,Gilbert Arenas,6,76,['POINT GUARD'],arenagi01,30,WASHINGTON WIZARDS,71,totals_2011.csv
22,22,29,157,404,86,182,9,103,49,2,139,64,50,1070,Gilbert Arenas,16,112,['POINT GUARD'],arenagi01,44,ORLANDO MAGIC,106,totals_2011.csv
23,23,25,162,762,197,271,31,347,75,75,303,138,82,2600,Trevor Ariza,61,180,['SMALL FORWARD'],arizatr01,120,NEW ORLEANS HORNETS,118,totals_2011.csv
24,24,26,10,64,23,3,16,75,41,2,31,14,1,412,Hilton Armstrong,39,75,['CENTER'],armsthi01,15,WASHINGTON WIZARDS,25,totals_2011.csv
25,25,26,4,12,10,1,5,14,12,0,6,2,1,76,Hilton Armstrong,3,9,['CENTER'],armsthi01,3,ATLANTA HAWKS,3,totals_2011.csv
26,26,31,100,238,35,64,1,67,49,42,109,28,28,995,Carlos Arroyo,13,60,['POINT GUARD'],arroyca01,14,MIAMI HEAT,43,totals_2011.csv
