,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,30,109,654,234,20,40,276,80,45,310,170,3,2015,Shareef Abdur-Rahim,122,243,['CENTER'],abdursh01,53,SACRAMENTO KINGS,116,totals_2007.csv
1,1,22,13,135,36,1,4,42,61,8,75,24,0,495,Hassan Adams,35,47,['SHOOTING GUARD'],adamsha01,17,NEW JERSEY NETS,22,totals_2007.csv
2,2,22,7,70,33,15,3,20,32,1,22,20,5,214,Maurice Ager,1,27,['SHOOTING GUARD'],agerma01,4,DALLAS MAVERICKS,15,totals_2007.csv
3,3,21,24,479,115,2,73,168,63,22,241,83,0,1392,LaMarcus Aldridge,144,186,['CENTER'],aldrila01,22,PORTLAND TRAIL BLAZERS,43,totals_2007.csv
4,4,28,16,258,34,1,16,77,60,1,107,28,0,638,Malik Allen,42,85,['POWER FORWARD'],allenma01,17,CHICAGO BULLS,21,totals_2007.csv
5,5,31,228,1153,309,443,11,190,55,55,505,279,165,2219,Ray Allen*,57,113,['SHOOTING GUARD'],allenra02,82,SEATTLE SUPERSONICS,154,totals_2007.csv
6,6,25,56,259,134,33,12,89,33,18,133,105,8,805,Tony Allen,35,87,['SHOOTING GUARD'],allento01,49,BOSTON CELTICS,75,totals_2007.csv
7,7,30,444,1020,177,529,10,253,82,82,383,130,192,3040,Rafer Alston,29,195,['POINT GUARD'],alstora01,129,HOUSTON ROCKETS,170,totals_2007.csv
8,8,24,0,0,0,0,0,0,1,0,0,0,0,2,Lou Amundson,0,0,['POWER FORWARD'],amundlo01,0,UTAH JAZZ,0,totals_2007.csv
9,9,24,1,15,10,0,8,15,10,0,6,4,0,87,Lou Amundson,13,15,['POWER FORWARD'],amundlo01,1,PHILADELPHIA 76ERS,5,totals_2007.csv
10,10,24,21,81,23,20,0,21,17,0,37,19,5,256,Alan Anderson,11,33,['SHOOTING GUARD'],anderal01,7,CHARLOTTE BOBCATS,22,totals_2007.csv
11,11,32,133,294,106,152,7,84,50,32,126,93,54,1190,Derek Anderson,29,115,['SMALL FORWARD'],anderde01,52,CHARLOTTE BOBCATS,56,totals_2007.csv
12,12,22,249,1453,568,149,23,248,65,65,691,459,40,2486,Carmelo Anthony,143,203,['SMALL FORWARD'],anthoca01,77,DENVER NUGGETS,234,totals_2007.csv
